"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Study","feature","breaks","stars"
23.6204519011322,4.19406699433859,1.52891583825927,2.74316407050483,0.00608502733883516,0.00436309196523079,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Morgan et al. 2012","Stool","[4,30)","**"
7.807995202203,2.45853260794875,1.39272813491507,1.76526383456644,0.0775194346524402,0.158095798732038,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc","Forbes et al.","Stool","[2,3)",""
89.4071488400244,-2.72602902127247,0.719833601853127,-3.78702663261986,0.000152460764265006,0.00210003187282027,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Marvinbryantia","Forbes et al.","Stool","[-3,-2)","***"
67.3718444997147,24.7360943711752,3.23397969282794,7.64880943007557,2.02848594619254e-14,9.05231445358368e-12,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Megasphaera","Halfvarson et al.","Stool","[4,30)","***"
8.45341735187304,25.8440304221702,2.73911347435629,9.43518063932846,3.90321112285427e-21,9.14145310559888e-08,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Megasphaera","Jacobs et al.","Stool","[4,30)","***"
6.3109955996127,5.16278049501986,1.44983125229859,3.56095268800055,0.00036951166662908,0.000241249710103197,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Negativibacillus","Morgan et al. 2012","Stool","[4,30)","***"
8.83312893660728,-2.64447258318839,0.595316497347695,-4.44212884233894,8.90731943571371e-06,0.0539666671024613,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter","Gevers et al.","Biopsy","[-3,-2)","***"
38.873026081101,5.65913914990527,2.09994554959533,2.69489804199723,0.00704101725114022,0.156914918446478,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","Gevers et al. stool","Stool","[4,30)","**"
26.4833265895661,22.3744039005797,2.4553229581987,9.11261136783174,8.04224657118663e-20,5.34809396983911e-18,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Peptoniphilus","Mottawea et al.","Lavage","[4,30)","***"
1178.47375137427,-2.95714151196263,0.844435124145023,-3.50191675761556,0.000461923914357596,0.00474885427790682,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia","Forbes et al.","Stool","[-3,-2)","***"
